Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12
4/8/2016,10:55:48,311,7726,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:48,513,7727,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:48,716,7728,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:48,919,7729,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:49,106,7730,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:49,309,7731,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:49,512,7732,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:49,715,7733,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:49,917,7734,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:50,105,7735,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:50,307,7736,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:50,510,7737,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:50,713,7738,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:50,916,7739,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:55:51,119,7740,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:51,306,7741,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:51,509,7742,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:51,711,7743,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:51,914,7744,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:52,117,7745,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:52,304,7746,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:55:52,507,7747,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:52,710,7748,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:52,913,7749,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:53,115,7750,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:53,318,7751,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:53,505,7752,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:53,708,7753,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:55:53,911,7754,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:54,114,7755,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:54,317,7756,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:54,504,7757,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:54,707,7758,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:54,909,7759,81,78,82,83,84,85,82,82,84,83,84,83
4/8/2016,10:55:55,112,7760,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:55,315,7761,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:55,518,7762,81,78,82,84,84,85,82,82,84,83,84,82
